location,image,gt_count,pred_count,true_positive_count,false_positive_count,false_negative_count,max_false_positive_confidence,background_false_alarm
Evo,Evo\evoDJI_0001_frame230.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame231.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame232.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame233.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame234.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame235.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame236.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame237.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame238.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame239.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame24.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame240.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame241.jpg,1,1,0,1,1,0.568419,False
Evo,Evo\evoDJI_0001_frame242.jpg,1,1,0,1,1,0.577800,False
Evo,Evo\evoDJI_0001_frame243.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame244.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame245.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame246.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame247.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame248.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame249.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame25.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame250.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame251.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame252.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame253.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame254.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame255.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame256.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame257.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame258.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame259.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame26.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame260.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame261.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame262.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame263.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame264.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame265.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame266.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame267.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame268.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame269.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame27.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame270.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame271.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame272.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame273.jpg,1,1,0,1,1,0.564663,False
Evo,Evo\evoDJI_0001_frame274.jpg,1,2,1,1,0,0.630752,False
Evo,Evo\evoDJI_0001_frame275.jpg,1,2,1,1,0,0.659671,False
Evo,Evo\evoDJI_0001_frame276.jpg,1,2,0,2,1,0.606620,False
Evo,Evo\evoDJI_0001_frame277.jpg,1,2,1,1,0,0.604138,False
Evo,Evo\evoDJI_0001_frame278.jpg,1,1,0,1,1,0.595202,False
Evo,Evo\evoDJI_0001_frame279.jpg,1,1,0,1,1,0.594503,False
Evo,Evo\evoDJI_0001_frame28.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame280.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame281.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame282.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame283.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame284.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame285.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame286.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame287.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame288.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame289.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame29.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame290.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame291.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame292.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame293.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame294.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame295.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame296.jpg,1,1,1,0,0,0.000000,False
